"filename", "language", "CMake", "C++", "JSON", "HTML", "YAML", "Markdown", "Dart", "Swift", "XML", "Gradle", "Java Properties", "CMake Cache", "C", "comment", "blank", "total"
"c:\Users\haqim\Project\Flutter\postalhub_tracker\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\haqim\Project\Flutter\postalhub_tracker\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\.cmake\api\v1\reply\cache-v2-a280f6fecfd314ef4d87.json", "JSON", 0, 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\.cmake\api\v1\reply\cmakeFiles-v1-48483a8bd9a4b0daebe0.json", "JSON", 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\.cmake\api\v1\reply\codemodel-v2-8a7cd2a9db3a8c7488d7.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\.cmake\api\v1\reply\index-2025-03-06T12-53-04-0706.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 78, 402
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\android_gradle_build.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\android_gradle_build_mini.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\cmake_install.cmake", "CMake", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\arm64-v8a\prefab_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\.cmake\api\v1\reply\cache-v2-f5e5920e3319605720ca.json", "JSON", 0, 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\.cmake\api\v1\reply\cmakeFiles-v1-98005a2047d738554ee0.json", "JSON", 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\.cmake\api\v1\reply\codemodel-v2-42258e5e60b0715c5fb4.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\.cmake\api\v1\reply\index-2025-03-06T13-10-59-0623.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 78, 402
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\android_gradle_build.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\android_gradle_build_mini.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\cmake_install.cmake", "CMake", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\armeabi-v7a\prefab_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\.cmake\api\v1\reply\cache-v2-58e355283d2c5cc2dd5f.json", "JSON", 0, 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\.cmake\api\v1\reply\cmakeFiles-v1-0a0ae93394f790f7122e.json", "JSON", 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\.cmake\api\v1\reply\codemodel-v2-e5fdec7b1db9cbda315b.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\.cmake\api\v1\reply\index-2025-03-06T13-11-08-0251.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 78, 402
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\android_gradle_build.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\android_gradle_build_mini.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\cmake_install.cmake", "CMake", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86\prefab_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\.cmake\api\v1\reply\cache-v2-2d6418c3bcb94268119f.json", "JSON", 0, 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\.cmake\api\v1\reply\cmakeFiles-v1-d36c5a38d76296a3f774.json", "JSON", 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\.cmake\api\v1\reply\codemodel-v2-8e38524dc2417d0e5046.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\.cmake\api\v1\reply\index-2025-03-06T13-11-13-0992.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 78, 402
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\android_gradle_build.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\android_gradle_build_mini.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\cmake_install.cmake", "CMake", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\Debug\a2o4c5dl\x86_64\prefab_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\.cmake\api\v1\reply\cache-v2-2b52d3f294e161a20596.json", "JSON", 0, 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\.cmake\api\v1\reply\cmakeFiles-v1-6656e08be329953fca62.json", "JSON", 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\.cmake\api\v1\reply\codemodel-v2-683bb2ad542128af44f2.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\.cmake\api\v1\reply\directory-.-RelWithDebInfo-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\.cmake\api\v1\reply\index-2025-03-06T06-55-06-0516.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 78, 402
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\android_gradle_build.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\android_gradle_build_mini.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\cmake_install.cmake", "CMake", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\arm64-v8a\prefab_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\.cmake\api\v1\reply\cache-v2-92448d9a2e95a7395ea3.json", "JSON", 0, 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\.cmake\api\v1\reply\cmakeFiles-v1-48f0737b2624680a3591.json", "JSON", 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\.cmake\api\v1\reply\codemodel-v2-6618e5ebd6d30f5466a9.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\.cmake\api\v1\reply\directory-.-RelWithDebInfo-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\.cmake\api\v1\reply\index-2025-03-06T06-55-14-0684.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 78, 402
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\android_gradle_build.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\android_gradle_build_mini.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\cmake_install.cmake", "CMake", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
